City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Avarua,CK,-21.2078,-159.775,86.0,79,75,18.41,
1,Esperance,AU,-33.8667,121.9,51.8,93,67,8.05,
2,Nikolskoye,RU,59.7035,30.7861,37.99,81,90,8.95,
3,Dong Xoai,VN,11.5333,106.9167,72.86,85,92,2.66,
4,Touros,BR,-5.1989,-35.4608,78.8,89,75,9.22,
5,Qaanaaq,GL,77.484,-69.3632,-20.78,59,19,7.29,
6,Punta Arenas,CL,-53.15,-70.9167,46.4,71,40,20.71,
7,Clyde River,CA,70.4692,-68.5914,-11.2,70,75,16.11,
8,Castro,BR,-24.7911,-50.0119,65.25,93,91,4.63,
9,Atuona,PF,-9.8,-139.0333,80.33,76,98,18.57,
10,Port Alfred,ZA,-33.5906,26.891,69.22,83,100,16.51,
11,Nalobikha,RU,53.2006,84.6039,25.12,94,100,13.89,
12,Vaini,TO,-21.2,-175.2,78.8,94,90,11.5,
13,Tessalit,ML,20.1986,1.0114,69.1,9,3,11.7,
14,Yaan,NG,7.3833,8.5667,78.8,70,100,6.98,
15,Juneau,US,58.3019,-134.4197,35.6,87,90,3.44,
16,Sistranda,NO,63.7256,8.834,41.0,75,75,19.57,
17,Beyneu,KZ,45.3167,55.2,52.43,89,80,14.29,
18,Ushuaia,AR,-54.8,-68.3,42.8,75,40,39.12,
19,Hithadhoo,MV,-0.6,73.0833,82.53,74,100,12.68,
20,Lata,PT,40.1629,-8.3327,52.0,76,40,1.48,
21,New Norfolk,AU,-42.7826,147.0587,63.0,78,100,3.0,
22,Vanimo,PG,-2.6741,141.3028,81.91,73,100,2.91,
23,Bluff,NZ,-46.6,168.3333,57.99,81,10,5.01,
24,Natal,BR,-5.795,-35.2094,80.6,78,40,12.66,
25,Mataura,NZ,-46.1927,168.8643,57.99,83,10,5.01,
26,Bonthe,SL,7.5264,-12.505,78.37,80,99,5.75,
27,Dunedin,NZ,-45.8742,170.5036,55.99,91,100,3.0,
28,Hermanus,ZA,-34.4187,19.2345,66.99,84,4,7.0,
29,Rikitea,PF,-23.1203,-134.9692,79.54,67,1,12.82,
30,Longyearbyen,SJ,78.2186,15.6401,26.6,74,75,13.8,
31,Albany,US,42.6001,-73.9662,52.0,80,100,3.0,
32,Yerbogachen,RU,61.2767,108.0108,-2.6,99,100,3.65,
33,Puerto Ayora,EC,-0.7393,-90.3518,82.4,78,40,10.36,
34,Vadgaon,IN,20.9402,74.8712,81.77,19,0,4.79,
35,Katsuura,JP,35.1333,140.3,60.01,64,100,5.01,
36,Port Shepstone,ZA,-30.7414,30.455,69.06,80,100,5.59,
37,Cedar City,US,37.6775,-113.0619,48.0,29,1,6.91,
38,Kulhudhuffushi,MV,6.6221,73.07,82.62,72,100,5.08,
39,Stuttgart,DE,48.7823,9.177,41.0,75,0,2.3,
40,Hobart,AU,-42.8794,147.3294,63.0,94,75,2.3,
41,Turukhansk,RU,65.8167,87.9833,20.39,95,100,9.82,
42,Dharchula,IN,29.85,80.5333,50.14,45,2,9.01,
43,Cidreira,BR,-30.1811,-50.2056,73.4,74,57,9.17,
